Tanggal,Jam,DateTime,Lintang,Bujur,Magnitude,Kedalaman,Wilayah,Potensi
01 Sep 2026,15:22:21 WIB,2026-09-01T08:22:21+00:00,0.26 LU,128.92 BT,5.5,10 km,65 km Tenggara HALMAHERATENGAH-MALUT,Tidak berpotensi tsunami
31 Agu 2026,15:03:29 WIB,2026-08-31T08:03:29+00:00,8.17 LS,120.58 BT,5.5,10 km,50 km TimurLaut RUTENG-MANGGARAI-NTT,Tidak berpotensi tsunami
29 Agu 2026,15:08:45 WIB,2026-08-29T08:08:45+00:00,0.67 LS,126.75 BT,5.1,12 km,83 km BaratDaya LABUHA-MALUT,Tidak berpotensi tsunami
27 Agu 2026,17:33:25 WIB,2026-08-27T10:33:25+00:00,8.07 LS,120.09 BT,5.2,10 km,52 km TimurLaut LABUANBAJO-NTT,Tidak berpotensi tsunami
26 Agu 2026,21:15:32 WIB,2026-08-26T14:15:32+00:00,8.38 LS,121.54 BT,5.0,10 km,41 km TimurLaut MBAY-NAGEKEO-NTT,Tidak berpotensi tsunami
25 Agu 2026,13:48:21 WIB,2026-08-25T06:48:21+00:00,3.44 LU,124.53 BT,5.1,295 km,108 km BaratDaya TAHUNA-KEP.SANGIHE-SULUT,Tidak berpotensi tsunami
24 Agu 2026,21:10:18 WIB,2026-08-24T14:10:18+00:00,6.67 LS,127.45 BT,6.2,10 km,168 km BaratLaut MALUKUBRTDAYA,Tidak berpotensi tsunami
24 Agu 2026,17:03:00 WIB,2026-08-24T10:03:00+00:00,5.01 LS,129.68 BT,5.6,10 km,206 km Tenggara MALUKUTENGAH,Tidak berpotensi tsunami
24 Agu 2026,04:20:18 WIB,2026-08-23T21:20:18+00:00,8.30 LS,120.62 BT,5.2,10 km,38 km TimurLaut RUTENG-MANGGARAI-NTT,Tidak berpotensi tsunami
23 Agu 2026,02:54:08 WIB,2026-08-22T19:54:08+00:00,0.30 LS,123.06 BT,5.4,86 km,57 km TimurLaut PULAUPUAH-SULTENG,Tidak berpotensi tsunami
22 Agu 2026,08:31:00 WIB,2026-08-22T01:31:00+00:00,8.03 LS,120.68 BT,5.2,10 km,68 km TimurLaut RUTENG-MANGGARAI-NTT,Tidak berpotensi tsunami
22 Agu 2026,00:41:43 WIB,2026-08-21T17:41:43+00:00,7.72 LS,104.47 BT,5.8,10 km,170 km BaratDaya SUMUR-BANTEN,Tidak berpotensi tsunami
21 Agu 2026,01:12:53 WIB,2026-08-20T18:12:53+00:00,8.21 LS,121.38 BT,5.3,10 km,52 km TimurLaut MBAY-NAGEKEO-NTT,Tidak berpotensi tsunami
20 Agu 2026,16:30:54 WIB,2026-08-20T09:30:54+00:00,8.30 LS,120.57 BT,5.4,10 km,36 km TimurLaut RUTENG-MANGGARAI-NTT,Tidak berpotensi tsunami
20 Agu 2026,15:01:32 WIB,2026-08-20T08:01:32+00:00,8.24 LS,120.62 BT,5.2,10 km,44 km TimurLaut RUTENG-MANGGARAI-NTT,Tidak berpotensi tsunami
